Player	Start	End	Mat	Inns	Balls	Overs	Mdns	Runs	Wkts	BBI	BBM	Ave	Econ	SR	4w	5w
M Muralidaran (Asia/ICC/SL)	1993	2011	350	341	18811	3135.1	198	12326	534	Jul-30	Jul-30	23.08	3.93	35.22	15	10
Wasim Akram (PAK)	1984	2003	356	351	18186	3031	237	11812	502	May-15	May-15	23.52	3.89	36.22	17	6
Waqar Younis (PAK)	1989	2003	262	258	12698	2116.2	143	9919	416	Jul-36	Jul-36	23.84	4.68	30.52	14	13
WPUJC Vaas (Asia/SL)	1994	2008	322	320	15775	2629.1	279	11014	400	Aug-19	Aug-19	27.53	4.18	39.43	9	4
Shahid Afridi (Asia/ICC/PAK)	1996	2015	398	372	17670	2945	76	13632	395	07-Dec	07-Dec	34.51	4.62	44.73	4	9
SM Pollock (Afr/ICC/SA)	1996	2008	303	297	15712	2618.4	313	9631	393	Jun-35	Jun-35	24.5	3.67	39.97	12	5
GD McGrath (AUS/ICC)	1993	2007	250	248	12970	2161.4	279	8391	381	Jul-15	Jul-15	22.02	3.88	34.04	9	7
B Lee (AUS)	2000	2012	221	217	11185	1864.1	141	8877	380	May-22	May-22	23.36	4.76	29.43	14	9
SL Malinga (SL)	2004	2019	226	220	10936	1822.4	103	9760	338	Jun-38	Jun-38	28.87	5.35	32.35	11	8
A Kumble (Asia/IND)	1990	2007	271	265	14496	2416	109	10412	337	06-Dec	06-Dec	30.89	4.3	43.01	8	2
ST Jayasuriya (Asia/SL)	1989	2011	445	368	14874	2479	45	11871	323	Jun-29	Jun-29	36.75	4.78	46.04	8	4
J Srinath (IND)	1991	2003	229	227	11935	1989.1	137	8847	315	May-23	May-23	28.08	4.44	37.88	7	3
Shakib Al Hasan (BAN)	2006	2023	235	229	11939	1989.5	96	8840	305	May-29	May-29	28.98	4.44	39.14	10	4
DL Vettori (ICC/NZ)	1997	2015	295	277	14060	2343.2	99	9674	305	05-Jul	05-Jul	31.71	4.12	46.09	8	2
SK Warne (AUS/ICC)	1993	2005	194	191	10642	1773.4	110	7541	293	May-33	May-33	25.73	4.25	36.32	12	1
Saqlain Mushtaq (PAK)	1995	2003	169	165	8770	1461.4	66	6275	288	May-20	May-20	21.78	4.29	30.45	11	6
AB Agarkar (IND)	1998	2007	191	188	9484	1580.4	100	8021	288	Jun-42	Jun-42	27.85	5.07	32.93	10	2
Z Khan (Asia/IND)	2000	2012	200	197	10097	1682.5	117	8301	282	May-42	May-42	29.43	4.93	35.8	7	1
JH Kallis (Afr/ICC/SA)	1996	2014	328	283	10750	1791.4	79	8680	273	May-30	May-30	31.79	4.84	39.37	2	2
AA Donald (SA)	1991	2003	164	162	8561	1426.5	101	5926	272	Jun-23	Jun-23	21.78	4.15	31.47	11	2
Mashrafe Mortaza (Asia/BAN)	2001	2020	220	220	10922	1820.2	123	8893	270	Jun-26	Jun-26	32.93	4.88	40.45	7	1
JM Anderson (ENG)	2002	2015	194	191	9584	1597.2	125	7861	269	May-23	May-23	29.22	4.92	35.62	11	2
Abdul Razzaq (Asia/PAK)	1996	2011	265	254	10941	1823.3	107	8564	269	Jun-35	Jun-35	31.83	4.69	40.67	8	3
Harbhajan Singh (Asia/IND)	1998	2015	236	227	12479	2079.5	83	8973	269	May-31	May-31	33.35	4.31	46.39	2	3
M Ntini (ICC/SA)	1998	2009	173	171	8687	1447.5	123	6559	266	Jun-22	Jun-22	24.65	4.53	32.65	8	4
N Kapil Dev (IND)	1978	1994	225	221	11202	1867	235	6945	253	May-43	May-43	27.45	3.71	44.27	3	1
Shoaib Akhtar (Asia/ICC/PAK)	1998	2011	163	162	7764	1294	99	6169	247	Jun-16	Jun-16	24.97	4.76	31.43	6	4
KD Mills (NZ)	2001	2015	170	169	8230	1371.4	127	6485	240	May-25	May-25	27.02	4.72	34.29	8	1
MG Johnson (AUS)	2005	2015	153	150	7489	1248.1	74	6038	239	Jun-31	Jun-31	25.26	4.83	31.33	9	3
HH Streak (Afr/ZIM)	1993	2005	189	185	9468	1578	114	7129	239	May-32	May-32	29.82	4.51	39.61	7	1
D Gough (ENG/ICC)	1994	2006	159	156	8470	1411.4	120	6209	235	May-44	May-44	26.42	4.39	36.04	10	2
CA Walsh (WI)	1985	2000	205	204	10822	1803.4	185	6918	227	05-Jan	05-Jan	30.47	3.83	47.67	6	1
CEL Ambrose (WI)	1988	2000	176	175	9353	1558.5	192	5429	225	May-17	May-17	24.12	3.48	41.56	6	4
MA Starc (AUS)	2010	2023	110	110	5676	946	48	4839	219	Jun-28	Jun-28	22.09	5.11	25.91	12	9
TG Southee (NZ)	2008	2023	154	152	7751	1291.5	80	7027	210	Jul-33	Jul-33	33.46	5.43	36.9	5	3
Abdur Razzak (BAN)	2004	2014	153	152	7965	1327.3	70	6065	207	May-29	May-29	29.29	4.56	38.47	5	4
CJ McDermott (AUS)	1985	1996	138	138	7461	1243.3	101	5018	203	May-44	May-44	24.71	4.03	36.75	4	1
CZ Harris (NZ)	1990	2004	250	232	10667	1777.5	82	7613	203	May-42	May-42	37.5	4.28	52.54	2	1
CL Cairns (ICC/NZ)	1991	2006	215	186	8168	1361.2	80	6594	201	May-42	May-42	32.79	4.84	40.63	3	1
DJ Bravo (WI)	2004	2014	164	150	6511	1085.1	38	5874	199	Jun-43	Jun-43	29.51	5.41	32.71	6	1
KMDN Kulasekara (SL)	2003	2017	184	181	8263	1377.1	106	6751	199	May-22	May-22	33.92	4.9	41.52	4	1
DW Steyn (Afr/SA)	2005	2019	125	124	6256	1042.4	71	5087	196	Jun-39	Jun-39	25.95	4.87	31.91	4	3
BKV Prasad (IND)	1994	2001	161	160	8129	1354.5	79	6332	196	May-27	May-27	32.29	4.67	41.47	3	1
SR Waugh (AUS)	1986	2002	325	207	8883	1480.3	56	6761	195	Apr-33	Apr-33	34.67	4.56	45.55	3	-
RA Jadeja (IND)	2009	2023	177	171	8827	1471.1	51	7232	194	May-36	May-36	37.27	4.91	45.5	7	1
CL Hooper (WI)	1987	2003	227	203	9573	1595.3	53	6958	193	Apr-34	Apr-34	36.04	4.36	49.6	3	-
L Klusener (SA)	1996	2004	171	164	7336	1222.4	46	5751	192	Jun-49	Jun-49	29.95	4.7	38.2	1	6
M Morkel (Afr/SA)	2007	2018	117	114	5760	960	47	4761	188	May-21	May-21	25.32	4.95	30.63	7	2
TA Boult (NZ)	2012	2022	99	99	5453	908.5	69	4484	187	Jul-34	Jul-34	23.97	4.93	29.16	10	5
CRD Fernando (Asia/SL)	2001	2012	147	141	6507	1084.3	53	5648	187	Jun-27	Jun-27	30.2	5.2	34.79	3	1
Saeed Ajmal (PAK)	2008	2015	113	112	6000	1000	50	4182	184	May-24	May-24	22.72	4.18	32.6	6	2
AU Rashid (ENG)	2009	2023	125	119	6263	1043.5	11	5894	183	May-27	May-27	32.2	5.64	34.22	8	2
Imran Khan (PAK)	1974	1992	175	153	7461	-	124	4844	182	Jun-14	Jun-14	26.61	3.89	40.99	3	1
Aaqib Javed (PAK)	1988	1998	163	159	8012	1335.2	98	5721	182	Jul-37	Jul-37	31.43	4.28	44.02	2	4
Umar Gul (PAK)	2003	2016	130	128	6064	1010.4	68	5253	179	Jun-42	Jun-42	29.34	5.19	33.87	4	2
SCJ Broad (ENG)	2006	2016	121	121	6109	1018.1	56	5364	178	May-23	May-23	30.13	5.26	34.32	9	1
NLTC Perera (SL)	2009	2021	166	157	5900	983.2	28	5740	175	Jun-44	Jun-44	32.79	5.83	33.71	5	4
NW Bracken (AUS)	2001	2009	116	116	5759	959.5	90	4240	174	May-47	May-47	24.36	4.41	33.09	5	2
Imran Tahir (SA)	2011	2019	107	104	5541	923.3	38	4297	173	Jul-45	Jul-45	24.83	4.65	32.02	7	3
JDP Oram (NZ)	2001	2012	160	154	6911	1151.5	93	5047	173	May-26	May-26	29.17	4.38	39.94	3	2
IK Pathan (IND)	2004	2012	120	118	5855	975.5	53	5142	173	May-27	May-27	29.72	5.26	33.84	5	2
A Flintoff (ENG/ICC)	1999	2009	141	119	5624	937.2	67	4121	169	May-19	May-19	24.38	4.39	33.27	6	2
SR Watson (AUS)	2002	2015	190	163	6466	1077.4	35	5342	168	Apr-36	Apr-36	31.79	4.95	38.48	3	-
Rashid Khan (AFG)	2015	2023	89	84	4481	746.5	28	3094	167	Jul-18	Jul-18	18.52	4.14	26.83	6	4
CH Gayle (ICC/WI)	1999	2019	301	199	7424	1237.2	38	5926	167	May-46	May-46	35.47	4.78	44.45	3	1
Mohammed Shami (IND)	2013	2023	90	89	4506	751	45	4210	162	May-69	May-69	25.98	5.6	27.81	9	1
Mushtaq Ahmed (PAK)	1989	2003	144	142	7543	1257.1	51	5361	161	May-36	May-36	33.29	4.26	46.85	3	1
CR Woakes (ENG)	2011	2023	112	108	5317	886.1	50	4837	160	Jun-45	Jun-45	30.23	5.45	33.23	10	3
JO Holder (WI)	2013	2023	138	134	6402	1067	64	5878	159	May-27	May-27	36.96	5.5	40.26	5	2
Sir RJ Hadlee (NZ)	1973	1990	115	112	6182	-	185	3407	158	May-25	May-25	21.56	3.3	39.12	1	5
Shoaib Malik (PAK)	1999	2019	287	217	7958	1326.2	38	6192	158	Apr-19	Apr-19	39.18	4.66	50.36	1	-
MD Marshall (WI)	1980	1992	136	134	7175	1195.5	122	4233	157	Apr-18	Apr-18	26.96	3.53	45.7	6	-
M Prabhakar (IND)	1984	1996	130	127	6360	1060	76	4534	157	May-33	May-33	28.87	4.27	40.5	4	2
A Nehra (Asia/IND)	2001	2011	120	120	5751	958.3	55	4981	157	Jun-23	Jun-23	31.72	5.19	36.63	5	2
GB Hogg (AUS)	1996	2008	123	113	5564	927.2	37	4188	156	May-32	May-32	26.84	4.51	35.66	3	2
SR Tendulkar (IND)	1989	2012	463	270	8054	1342.2	24	6850	154	May-32	May-32	44.48	5.1	52.29	4	2
BAW Mendis (SL)	2008	2015	87	84	4154	692.2	34	3324	152	Jun-13	Jun-13	21.86	4.8	27.32	7	3
UDU Chandana (SL)	1994	2007	147	136	6142	1023.4	20	4818	151	May-61	May-61	31.9	4.7	40.67	4	1
R Ashwin (IND)	2010	2022	113	111	6141	1023.3	36	5058	151	Apr-25	Apr-25	33.49	4.94	40.66	1	-
Mohammad Nabi (AFG)	2009	2023	142	137	6681	1113.3	43	4792	150	Apr-30	Apr-30	31.94	4.3	44.54	4	-
